TransactionID,AccountID,CustomerAge,gender,TransactionAmount,TransactionDate,TransactionType,location,MerchantID,Channel,PreviousTransactionDate,offer_accepted,offer_type_last_given,transaction_category_last
TX000001,AC00128,70,Female,14.09,11-04-2023 16:29,Debit,Mumbai,M015,ATM,04-11-2024 08:08,1,Loyalty Points,Food
TX000002,AC00455,68,Male,376.24,27-06-2023 16:44,Debit,Chennai,M052,ATM,04-11-2024 08:09,0,Discount,Fuel
TX000003,AC00019,19,Female,126.29,10-07-2023 18:16,Debit,Pune,M009,Online,04-11-2024 08:07,1,Discount,Fuel
TX000004,AC00070,26,Female,184.5,05-05-2023 16:32,Debit,Pune,M002,Online,04-11-2024 08:09,1,Cashback,Food
TX000005,AC00411,26,Male,13.45,16-10-2023 17:51,Credit,Chennai,M091,Online,04-11-2024 08:06,0,Discount,Fuel
TX000006,AC00393,18,Female,92.15,03-04-2023 17:15,Debit,Pune,M054,ATM,04-11-2024 08:06,0,Cashback,Food
TX000007,AC00199,37,Male,7.08,15-02-2023 16:36,Credit,Delhi,M019,ATM,04-11-2024 08:10,0,Loyalty Points,Shopping
TX000008,AC00069,67,Other,171.42,08-05-2023 17:47,Credit,Hyderabad,M020,Branch,04-11-2024 08:10,1,Cashback,Fuel
TX000009,AC00135,51,Female,106.23,21-03-2023 16:59,Credit,Chennai,M035,Branch,04-11-2024 08:11,0,Freebie,Travel
TX000010,AC00385,55,Female,815.96,31-03-2023 16:06,Debit,Kolkata,M007,ATM,04-11-2024 08:06,0,Freebie,Fuel
TX000011,AC00150,52,Female,17.78,14-03-2023 16:46,Credit,Delhi,M073,Online,04-11-2024 08:06,1,Loyalty Points,Food
TX000012,AC00459,21,Male,190.02,06-02-2023 17:30,Debit,Hyderabad,M030,Online,04-11-2024 08:07,0,Discount,Travel
TX000013,AC00392,24,Female,494.52,07-06-2023 17:21,Credit,Kolkata,M057,Branch,04-11-2024 08:08,1,Cashback,Entertainment
TX000014,AC00264,26,Female,781.76,20-11-2023 16:39,Debit,Kolkata,M025,ATM,04-11-2024 08:07,1,Freebie,Travel
TX000015,AC00085,18,Female,166.99,13-02-2023 16:53,Debit,Kolkata,M017,Online,04-11-2024 08:10,0,Cashback,Travel
TX000016,AC00270,36,Female,465.45,12-12-2023 16:23,Debit,Hyderabad,M025,ATM,04-11-2024 08:12,1,Freebie,Fuel
TX000017,AC00317,19,Female,555.8,30-10-2023 16:52,Credit,Delhi,M048,Branch,04-11-2024 08:07,1,Cashback,Healthcare
TX000018,AC00359,39,Male,492.93,14-12-2023 18:32,Debit,Kolkata,M059,Online,04-11-2024 08:11,0,Discount,Travel
TX000019,AC00242,59,Male,18.68,21-02-2023 16:56,Credit,Kolkata,M054,Branch,04-11-2024 08:12,0,Loyalty Points,Travel
TX000020,AC00285,18,Female,71.48,08-06-2023 18:18,Credit,Bangalore,M039,Online,04-11-2024 08:09,0,Discount,Food
TX000021,AC00002,71,Male,59.32,28-02-2023 16:36,Debit,Chennai,M040,Branch,04-11-2024 08:09,0,Cashback,Fuel
TX000022,AC00014,38,Female,85.77,11-08-2023 18:31,Debit,Hyderabad,M065,Branch,04-11-2024 08:08,1,Freebie,Food
TX000023,AC00095,39,Female,52.2,06-06-2023 18:54,Debit,Hyderabad,M022,Online,04-11-2024 08:07,0,Freebie,Fuel
TX000024,AC00453,22,Male,345.84,02-05-2023 18:25,Debit,Pune,M083,Online,04-11-2024 08:07,0,Loyalty Points,Entertainment
TX000025,AC00241,21,Male,145.54,02-03-2023 16:43,Debit,Hyderabad,M028,Online,04-11-2024 08:07,0,Discount,Healthcare
TX000026,AC00041,65,Female,7.49,20-10-2023 17:53,Credit,Delhi,M043,Online,04-11-2024 08:09,0,Discount,Travel
TX000027,AC00441,23,Male,246.93,17-04-2023 16:37,Debit,Hyderabad,M029,ATM,04-11-2024 08:11,1,Discount,Fuel
TX000028,AC00057,37,Female,40.32,29-03-2023 16:42,Debit,Bangalore,M008,Branch,04-11-2024 08:11,1,Freebie,Travel
TX000029,AC00390,44,Male,127.45,24-01-2023 16:18,Debit,Chennai,M092,Online,04-11-2024 08:11,0,Loyalty Points,Travel
TX000030,AC00313,27,Female,56.17,20-09-2023 16:55,Debit,Chennai,M043,Branch,04-11-2024 08:08,0,Freebie,Shopping
TX000031,AC00367,59,Male,28.31,17-07-2023 17:49,Credit,Hyderabad,M091,Online,04-11-2024 08:09,0,Discount,Food
TX000032,AC00291,29,Female,59.12,06-02-2023 16:24,Debit,Kolkata,M053,ATM,04-11-2024 08:06,0,Cashback,Healthcare
TX000033,AC00060,49,Male,396.45,25-09-2023 16:26,Debit,Mumbai,M007,ATM,04-11-2024 08:11,0,Freebie,Fuel
TX000034,AC00359,22,Female,877.81,13-03-2023 17:23,Debit,Mumbai,M094,Online,04-11-2024 08:07,0,Loyalty Points,Entertainment
TX000035,AC00365,45,Male,255.26,27-10-2023 16:42,Credit,Kolkata,M002,Branch,04-11-2024 08:10,1,Discount,Healthcare
TX000036,AC00267,49,Female,124.76,16-10-2023 16:32,Debit,Kolkata,M002,Branch,04-11-2024 08:06,0,Cashback,Shopping
TX000037,AC00404,26,Female,78.13,21-11-2023 16:58,Debit,Kolkata,M028,Branch,04-11-2024 08:12,1,Freebie,Food
TX000038,AC00202,75,Male,649.28,02-03-2023 17:53,Debit,Delhi,M074,ATM,04-11-2024 08:11,0,Cashback,Entertainment
TX000039,AC00478,66,Male,795.31,12-10-2023 17:07,Debit,Mumbai,M048,ATM,04-11-2024 08:11,0,Cashback,Entertainment
TX000040,AC00405,55,Male,335.63,24-01-2023 17:17,Debit,Kolkata,M040,Online,04-11-2024 08:07,1,Loyalty Points,Travel
TX000041,AC00421,63,Female,328.47,31-07-2023 18:39,Debit,Delhi,M014,ATM,04-11-2024 08:07,0,Freebie,Food
TX000042,AC00480,38,Female,34.02,09-01-2023 16:13,Debit,Pune,M046,Online,04-11-2024 08:11,1,Loyalty Points,Shopping
TX000043,AC00120,57,Female,241.42,20-04-2023 18:57,Credit,Delhi,M044,Online,04-11-2024 08:09,0,Discount,Fuel
TX000044,AC00117,19,Male,55.32,12-04-2023 16:03,Debit,Mumbai,M009,ATM,04-11-2024 08:08,0,Cashback,Fuel
TX000045,AC00011,27,Male,304.31,26-07-2023 16:52,Debit,Hyderabad,M005,Branch,04-11-2024 08:09,1,Loyalty Points,Shopping
TX000046,AC00401,74,Female,435.27,04-10-2023 17:49,Debit,Pune,M051,Branch,04-11-2024 08:11,0,Loyalty Points,Travel
TX000047,AC00282,26,Female,164.49,13-12-2023 16:01,Debit,Mumbai,M070,Branch,04-11-2024 08:10,1,Discount,Travel
TX000048,AC00439,19,Other,510.24,09-10-2023 16:29,Debit,Delhi,M090,Online,04-11-2024 08:11,1,Freebie,Entertainment
TX000049,AC00296,26,Male,626.9,27-11-2023 16:45,Debit,Bangalore,M023,Online,04-11-2024 08:07,0,Loyalty Points,Food
TX000050,AC00471,41,Female,22.01,27-03-2023 16:45,Credit,Chennai,M055,Online,04-11-2024 08:06,0,Cashback,Entertainment
TX000051,AC00159,69,Male,425.34,13-02-2023 16:59,Credit,Mumbai,M040,Online,04-11-2024 08:07,0,Cashback,Fuel
TX000052,AC00482,51,Male,424.56,21-02-2023 17:45,Debit,Kolkata,M015,Online,04-11-2024 08:09,0,Cashback,Shopping
TX000053,AC00115,67,Female,85.43,07-06-2023 16:45,Debit,Delhi,M078,Branch,04-11-2024 08:06,1,Cashback,Food
TX000054,AC00055,28,Female,169.5,07-09-2023 16:51,Debit,Kolkata,M036,Branch,04-11-2024 08:08,0,Loyalty Points,Shopping
TX000055,AC00419,62,Other,104.63,29-03-2023 17:47,Debit,Kolkata,M095,ATM,04-11-2024 08:10,0,Cashback,Food
TX000056,AC00374,25,Male,316.95,04-08-2023 17:53,Debit,Kolkata,M052,Branch,04-11-2024 08:09,1,Loyalty Points,Healthcare
TX000057,AC00271,57,Male,60.54,14-12-2023 17:52,Credit,Kolkata,M095,Branch,04-11-2024 08:09,0,Freebie,Fuel
TX000058,AC00456,68,Female,292.56,03-03-2023 17:37,Credit,Kolkata,M075,Branch,04-11-2024 08:07,1,Cashback,Fuel
TX000059,AC00143,48,Female,386.52,09-06-2023 16:18,Debit,Pune,M064,Branch,04-11-2024 08:07,0,Freebie,Healthcare
TX000060,AC00427,23,Male,112.07,02-10-2023 16:35,Debit,Mumbai,M064,Branch,04-11-2024 08:11,1,Loyalty Points,Food
TX000061,AC00438,46,Male,568.52,06-10-2023 18:44,Debit,Mumbai,M094,ATM,04-11-2024 08:06,0,Discount,Travel
TX000062,AC00002,79,Male,263.99,16-05-2023 16:07,Debit,Chennai,M087,Branch,04-11-2024 08:11,0,Freebie,Food
TX000063,AC00425,48,Female,349.64,07-11-2023 16:48,Debit,Delhi,M097,Online,04-11-2024 08:08,0,Cashback,Fuel
TX000064,AC00325,56,Male,601.4,30-05-2023 17:43,Credit,Bangalore,M001,Branch,04-11-2024 08:08,0,Discount,Shopping
TX000065,AC00434,50,Male,5.77,02-11-2023 16:01,Debit,Pune,M071,Online,04-11-2024 08:11,1,Freebie,Entertainment
TX000066,AC00242,42,Male,201.33,29-03-2023 17:00,Credit,Delhi,M003,Branch,04-11-2024 08:11,0,Loyalty Points,Shopping
TX000067,AC00319,56,Male,298.42,25-04-2023 16:11,Debit,Pune,M005,Branch,04-11-2024 08:10,1,Loyalty Points,Fuel
TX000068,AC00460,25,Male,521.06,18-04-2023 18:40,Debit,Mumbai,M063,Branch,04-11-2024 08:12,0,Loyalty Points,Shopping
TX000069,AC00461,60,Female,117.28,09-02-2023 16:34,Credit,Kolkata,M057,Online,04-11-2024 08:07,0,Freebie,Travel
TX000070,AC00395,32,Male,189.12,13-11-2023 16:42,Credit,Chennai,M040,Branch,04-11-2024 08:08,0,Loyalty Points,Travel
TX000071,AC00217,44,Female,133.55,18-07-2023 16:12,Debit,Chennai,M091,ATM,04-11-2024 08:10,0,Freebie,Food
TX000072,AC00053,35,Male,143.21,13-01-2023 17:00,Debit,Hyderabad,M066,Online,04-11-2024 08:09,0,Cashback,Shopping
TX000073,AC00282,62,Female,24.77,04-07-2023 18:20,Debit,Bangalore,M070,ATM,04-11-2024 08:12,0,Cashback,Shopping
TX000074,AC00110,26,Female,233.92,20-10-2023 16:54,Credit,Chennai,M046,Online,04-11-2024 08:08,1,Freebie,Fuel
TX000075,AC00265,20,Female,1212.51,04-10-2023 16:36,Debit,Kolkata,M036,Branch,04-11-2024 08:06,0,Freebie,Food
TX000076,AC00239,37,Female,232.12,28-12-2023 17:31,Debit,Mumbai,M066,ATM,04-11-2024 08:09,0,Discount,Food
TX000077,AC00007,22,Male,162.63,12-06-2023 17:53,Debit,Bangalore,M060,Online,04-11-2024 08:08,0,Loyalty Points,Shopping
TX000078,AC00022,44,Male,91.53,13-03-2023 16:32,Debit,Delhi,M095,Branch,04-11-2024 08:11,0,Cashback,Entertainment
TX000079,AC00464,19,Female,120.29,18-12-2023 18:46,Debit,Kolkata,M045,Branch,04-11-2024 08:06,1,Cashback,Shopping
TX000080,AC00014,50,Other,174.25,17-07-2023 18:54,Debit,Kolkata,M032,Online,04-11-2024 08:10,0,Discount,Shopping
TX000081,AC00406,38,Female,183.71,19-06-2023 18:22,Debit,Chennai,M074,ATM,04-11-2024 08:09,0,Freebie,Shopping
TX000082,AC00445,58,Female,345.39,23-10-2023 17:13,Credit,Bangalore,M081,Online,04-11-2024 08:08,0,Freebie,Travel
TX000083,AC00236,63,Female,922.55,23-01-2023 16:32,Debit,Mumbai,M004,ATM,04-11-2024 08:11,0,Discount,Healthcare
TX000084,AC00220,49,Male,259.91,06-11-2023 16:34,Debit,Hyderabad,M028,Online,04-11-2024 08:09,0,Loyalty Points,Food
TX000085,AC00140,34,Male,154.71,03-07-2023 16:40,Debit,Pune,M030,Online,04-11-2024 08:09,0,Freebie,Healthcare
TX000086,AC00098,54,Female,1340.19,29-09-2023 17:22,Credit,Pune,M012,Online,04-11-2024 08:06,0,Freebie,Travel
TX000087,AC00303,64,Female,24.56,20-10-2023 17:27,Debit,Mumbai,M033,Branch,04-11-2024 08:12,0,Loyalty Points,Entertainment
TX000088,AC00373,48,Male,568.07,28-08-2023 17:03,Debit,Mumbai,M054,ATM,04-11-2024 08:07,1,Loyalty Points,Fuel
TX000089,AC00438,58,Female,9.61,22-06-2023 18:37,Credit,Pune,M043,Online,04-11-2024 08:09,0,Discount,Entertainment
TX000090,AC00437,24,Male,392.96,20-11-2023 16:28,Debit,Hyderabad,M022,Online,04-11-2024 08:08,1,Discount,Food
TX000091,AC00106,60,Female,716.93,14-09-2023 16:49,Credit,Bangalore,M052,Online,04-11-2024 08:08,0,Discount,Fuel
TX000092,AC00310,53,Male,223.85,02-10-2023 16:36,Debit,Pune,M009,ATM,04-11-2024 08:08,1,Freebie,Healthcare
TX000093,AC00149,21,Male,230.66,27-03-2023 18:16,Debit,Mumbai,M049,Branch,04-11-2024 08:10,0,Discount,Entertainment
TX000094,AC00373,19,Female,442.12,21-12-2023 16:37,Debit,Chennai,M047,Online,04-11-2024 08:08,0,Freebie,Food
TX000095,AC00425,29,Male,644.17,02-03-2023 16:05,Debit,Delhi,M093,ATM,04-11-2024 08:08,0,Cashback,Entertainment
TX000096,AC00010,51,Female,508.68,26-06-2023 16:16,Credit,Hyderabad,M048,Branch,04-11-2024 08:09,0,Loyalty Points,Fuel
TX000097,AC00348,27,Female,858.63,18-04-2023 17:27,Credit,Kolkata,M002,Branch,04-11-2024 08:10,0,Loyalty Points,Fuel
TX000098,AC00011,57,Female,25.36,17-07-2023 17:08,Debit,Hyderabad,M007,ATM,04-11-2024 08:11,0,Cashback,Entertainment
TX000099,AC00453,71,Male,147.62,01-09-2023 17:26,Debit,Chennai,M028,Branch,04-11-2024 08:07,0,Discount,Travel
TX000100,AC00178,37,Male,115.02,11-09-2023 16:19,Debit,Chennai,M004,Branch,04-11-2024 08:08,0,Freebie,Entertainment
TX000101,AC00265,30,Male,383.37,24-01-2023 17:23,Debit,Kolkata,M066,Branch,04-11-2024 08:11,0,Freebie,Healthcare
TX000102,AC00018,20,Other,98.54,11-08-2023 16:18,Credit,Mumbai,M095,Online,04-11-2024 08:10,1,Freebie,Entertainment
TX000103,AC00075,55,Female,83.24,16-10-2023 18:35,Credit,Pune,M009,Branch,04-11-2024 08:10,0,Loyalty Points,Entertainment
TX000104,AC00464,27,Female,196.16,24-02-2023 16:29,Debit,Bangalore,M099,Branch,04-11-2024 08:08,0,Discount,Travel
TX000105,AC00170,32,Female,129.94,02-01-2023 16:36,Debit,Hyderabad,M045,ATM,04-11-2024 08:06,0,Freebie,Shopping
TX000106,AC00235,46,Female,306.9,30-11-2023 16:31,Debit,Kolkata,M047,Online,04-11-2024 08:10,0,Freebie,Fuel
TX000107,AC00013,59,Female,114.98,01-11-2023 16:52,Debit,Hyderabad,M032,Online,04-11-2024 08:09,0,Freebie,Healthcare
TX000108,AC00397,27,Male,756.59,06-03-2023 16:47,Debit,Chennai,M012,Branch,04-11-2024 08:11,1,Cashback,Food
TX000109,AC00423,22,Female,503.76,27-11-2023 18:32,Debit,Pune,M083,Online,04-11-2024 08:09,0,Freebie,Fuel
TX000110,AC00154,63,Male,143.03,31-07-2023 16:37,Debit,Hyderabad,M055,ATM,04-11-2024 08:10,0,Cashback,Fuel
TX000111,AC00068,53,Female,1045.22,22-11-2023 16:13,Debit,Bangalore,M077,ATM,04-11-2024 08:07,0,Freebie,Shopping
TX000112,AC00318,25,Female,245.54,21-03-2023 16:29,Debit,Chennai,M089,ATM,04-11-2024 08:10,0,Freebie,Fuel
TX000113,AC00396,51,Female,254.37,20-04-2023 18:26,Credit,Bangalore,M012,Online,04-11-2024 08:06,1,Freebie,Fuel
TX000114,AC00121,78,Male,213.76,01-03-2023 17:52,Credit,Pune,M009,ATM,04-11-2024 08:09,1,Cashback,Travel
TX000115,AC00336,40,Male,327.86,10-02-2023 16:52,Debit,Hyderabad,M051,Online,04-11-2024 08:06,0,Freebie,Travel
TX000116,AC00468,47,Male,2.5,21-07-2023 16:43,Debit,Delhi,M042,Online,04-11-2024 08:09,0,Discount,Travel
TX000117,AC00282,68,Male,300.08,09-10-2023 17:02,Credit,Hyderabad,M040,Online,04-11-2024 08:12,0,Freebie,Travel
TX000118,AC00498,43,Male,56.98,01-01-2024 16:34,Credit,Pune,M086,ATM,04-11-2024 08:07,0,Cashback,Travel
